,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Michael Thomas,NOR,9,2,22.22%,21,1,13.8%,5,0,0.00%,0,0,15.2%,All Michael Thomas red zone receiving plays,ThomMi05
Tank Dell,HOU,8,5,62.50%,44,3,11.8%,3,2,66.67%,13,2,8.3%,All Tank Dell red zone receiving plays,DellNa00
Quentin Johnston,LAC,8,4,50.00%,17,2,11.0%,4,2,50.00%,7,2,9.1%,All Quentin Johnston red zone receiving plays,JohnQu02
Alvin Kamara,NOR,8,8,100.00%,47,1,12.3%,1,1,100.00%,5,0,3.0%,All Alvin Kamara red zone receiving plays,KamaAl00
Dawson Knox,BUF,8,3,37.50%,10,2,12.9%,5,3,60.00%,10,2,18.5%,All Dawson Knox red zone receiving plays,KnoxDa00
Terry McLaurin,WAS,8,5,62.50%,31,1,12.5%,3,1,33.33%,3,1,8.6%,All Terry McLaurin red zone receiving plays,McLaTe00
Isiah Pacheco,KAN,8,7,87.50%,41,2,9.1%,5,4,80.00%,15,2,10.4%,All Isiah Pacheco red zone receiving plays,PachIs00
Colby Parkinson,SEA,8,4,50.00%,12,1,12.3%,4,2,50.00%,4,1,16.7%,All Colby Parkinson red zone receiving plays,ParkCo02
George Pickens,PIT,8,3,37.50%,16,0,19.0%,3,1,33.33%,2,0,16.7%,All George Pickens red zone receiving plays,PickGe00
Jaylen Waddle,MIA,8,3,37.50%,20,2,11.9%,6,2,33.33%,6,2,13.6%,All Jaylen Waddle red zone receiving plays,WaddJa00
Rachaad White,TAM,8,7,87.50%,38,0,13.6%,3,2,66.67%,11,0,10.3%,All Rachaad White red zone receiving plays,WhitRa01
Dontayvion Wicks,GNB,8,4,50.00%,36,2,8.9%,2,1,50.00%,10,1,5.4%,All Dontayvion Wicks red zone receiving plays,WickDo00
Nelson Agholor,BAL,7,6,85.71%,43,3,10.9%,2,1,50.00%,6,1,6.5%,All Nelson Agholor red zone receiving plays,AghoNe00
